Metric,K=1,K=3,K=5,K=10,K=20,K=50,Value
Recall@K,0.11336934503713707,0.325050641458474,0.5109385550303849,0.6539500337609723,0.6557056043214045,0.6561107359891964,
Precision@K,0.22673869007427414,0.21670042763898265,0.20437542201215397,0.13079000675219446,0.06557056043214043,0.02624442943956786,
Recall提升率(%),13.369345037137062,225.050641458474,410.9385550303848,553.9500337609722,555.7056043214044,556.1107359891964,
MRR,,,,,,,0.43271740413536497
NDCG,,,,,,,0.43953303849578157
MAP,,,,,,,0.3136174865810645
Hit Rate,,,,,,,0.8679270762997975
Title Recall,,,,,,,0.6567184334908845
Title Precision,,,,,,,0.017696032079070875
图谱覆盖率,,,,,,,0.0005003688281394984
平均扩展实体数,,,,,,,449.8771100607697
平均扩展边数,,,,,,,493.7051991897367
Exact Match,,,,,,,0.09665628807364289
F1 Score,,,,,,,0.20883493218019356
Semantic Similarity,,,,,,,0.5788240788611889
