Metric,Value
Recall@7,0.7674544226873734
Precision@7,0.21927269219639234
Recall提升率(%),667.4544226873734
MRR,0.8841153017587859
NDCG,0.7602581476948085
MAP,0.6975365743866756
Hit Rate,0.9438217420661715
Title Recall,0.7674544226873734
Title Precision,0.2466653805343879
Exact Match,0.424983119513842
F1 Score,0.11483501785299971
Semantic Similarity,0.5706525343643339
平均向量检索延迟(s),0.34430419067367357
平均图谱检索延迟(s),0.09003486485194709
平均总延迟(s),5.885547607931875
