Complexity_Level,Sample_Size,EM,F1,Avg_Context_Len,Recall@K,Precision@K,MRR,NDCG,MAP,Hit_Rate,Title_Recall,Title_Precision,Semantic_Sim,Vector_Latency,Graph_Latency,Total_Latency,Vector_Routing,Keywords_Routing,Graph_Routing,Expansion_Routing,Rerank_Routing,Scoring_Routing,Update_Routing
medium,64,0.40625,0.06370778119718477,2725.0625,0.7109375,0.20312499999999994,0.8763020833333333,0.7251226684513422,0.6623697916666667,0.921875,0.7109375,0.21681547619047617,0.5083245597123953,0.44869210571050644,0.08564642444252968,5.1990454494953156,1.0,1.0,1.0,0.984375,1.0,1.0,0.9375
high,64,0.421875,0.1049327007327216,2718.046875,0.7265625,0.2075892857142857,0.82734375,0.7209698015636012,0.6678385416666666,0.875,0.7265625,0.2444940476190476,0.5679681052118742,0.33033647388219833,0.08895503729581833,5.294313944876194,1.0,1.0,0.984375,0.984375,1.0,1.0,0.96875
